====== PRINT_BPTREE ======
FrequentPattern		Frequency
{chocolate bread, eggs} 2
{corn, eggs} 2
{eggs, mashed potato} 2
{eggs, pickles} 2
{eggs, shallot} 2
{eggs, french fries, frozen vegetables, tomatoes, vegetables mix} 2
{eggs, french fries, grated cheese, ground beef, milk} 2
{eggs, french fries, grated cheese, ground beef, mineral water} 2
{eggs, french fries, grated cheese, milk, mineral water} 2
{eggs, french fries, grated cheese, milk, spaghetti} 2
{eggs, french fries, grated cheese, mineral water, soup} 2
{eggs, french fries, green beans, green tea, spaghetti} 2
{eggs, french fries, green grapes, mineral water, vegetables mix} 2
{eggs, french fries, green tea, ground beef, tomatoes} 2
{eggs, french fries, green tea, milk, turkey} 2
{eggs, french fries, green tea, spaghetti, tomato juice} 2
{eggs, french fries, green tea, spaghetti, tomatoes} 2
{eggs, french fries, green tea, spaghetti, turkey} 2
{eggs, french fries, ground beef, milk, mineral water} 2
{eggs, french fries, ground beef, milk, whole wheat pasta} 2
{eggs, french fries, ground beef, mineral water, soup} 2
{eggs, french fries, ground beef, mineral water, tomato sauce} 2
{eggs, french fries, ground beef, spaghetti, tomatoes} 2
{eggs, french fries, ham, low fat yogurt, pancakes} 2
{eggs, french fries, ham, low fat yogurt, spaghetti} 2
{eggs, french fries, ham, low fat yogurt, tomatoes} 2
{eggs, french fries, ham, milk, tomatoes} 2
{eggs, french fries, ham, pancakes, spaghetti} 2
{eggs, french fries, ham, spaghetti, whole wheat rice} 2
{eggs, french fries, honey, milk, spaghetti} 2
{eggs, french fries, honey, spaghetti, turkey} 2
{eggs, french fries, light mayo, pancakes, spaghetti} 2
{eggs, french fries, low fat yogurt, milk, mineral water} 2
{eggs, french fries, low fat yogurt, milk, shrimp} 2
{eggs, french fries, low fat yogurt, mineral water, pancakes} 2
{eggs, french fries, low fat yogurt, mineral water, spaghetti} 2
{eggs, french fries, low fat yogurt, pancakes, shrimp} 2
{eggs, french fries, low fat yogurt, shrimp, spaghetti} 2
{eggs, french fries, low fat yogurt, spaghetti, whole wheat rice} 2
{eggs, french fries, meatballs, milk, spaghetti} 2
{eggs, french fries, milk, mineral water, pancakes} 2
{eggs, french fries, milk, mineral water, shrimp} 2
{eggs, french fries, milk, mineral water, tomatoes} 2
{eggs, french fries, milk, mineral water, turkey} 2
{eggs, french fries, milk, pancakes, spaghetti} 2
{eggs, french fries, milk, shrimp, spaghetti} 2
{eggs, french fries, milk, spaghetti, whole wheat rice} 2
{eggs, french fries, milk, tomatoes, vegetables mix} 2
{eggs, french fries, milk, tomatoes, whole wheat rice} 2
{eggs, french fries, mineral water, pancakes, spaghetti} 2
{eggs, french fries, mineral water, pasta, shrimp} 2
{eggs, french fries, mineral water, pasta, spaghetti} 2
{eggs, french fries, mineral water, shrimp, spaghetti} 2
{eggs, french fries, mineral water, soup, spaghetti} 2
{eggs, french fries, mineral water, spaghetti, whole wheat rice} 2
{eggs, french fries, mineral water, strawberries, tomatoes} 2
{eggs, french fries, mineral water, tomatoes, whole wheat rice} 2
{eggs, french fries, pancakes, shrimp, spaghetti} 2
{eggs, french fries, pasta, shrimp, spaghetti} 2
{eggs, french fries, spaghetti, tomatoes, turkey} 2
{eggs, french fries, spaghetti, tomatoes, whole wheat rice} 2
{eggs, french wine, fresh bread, spaghetti, tomatoes} 2
{eggs, french wine, frozen vegetables, pancakes, soup} 2
{eggs, french wine, ground beef, mineral water, spaghetti} 2
{eggs, french wine, milk, mineral water, spaghetti} 2
{eggs, french wine, pancakes, spaghetti, whole wheat pasta} 2
{eggs, fresh bread, fresh tuna, milk, mineral water} 2
{eggs, fresh bread, frozen vegetables, green tea, turkey} 2
{eggs, fresh bread, frozen vegetables, ground beef, mineral water} 2
{eggs, fresh bread, frozen vegetables, low fat yogurt, milk} 2
{eggs, fresh bread, frozen vegetables, low fat yogurt, mineral water} 2
{eggs, fresh bread, frozen vegetables, mineral water, turkey} 2
{eggs, fresh bread, frozen vegetables, pancakes, turkey} 2
{eggs, fresh bread, grated cheese, ground beef, spaghetti} 2
{eggs, fresh bread, green beans, mineral water, spaghetti} 2
{eggs, fresh bread, ground beef, milk, mineral water} 2
{eggs, fresh bread, ground beef, milk, pancakes} 2
{eggs, fresh bread, ground beef, milk, spaghetti} 2
{eggs, fresh bread, ground beef, mineral water, pancakes} 2
{eggs, fresh bread, ground beef, pancakes, spaghetti} 2
{eggs, fresh bread, low fat yogurt, milk, mineral water} 2
{eggs, fresh bread, milk, mineral water, shrimp} 2
{eggs, fresh tuna, fromage blanc, green tea, honey} 2
{eggs, fresh tuna, fromage blanc, green tea, spaghetti} 2
{eggs, fresh tuna, fromage blanc, honey, pancakes} 2
{eggs, fresh tuna, fromage blanc, honey, spaghetti} 2
{eggs, fresh tuna, gluten free bar, pancakes, spaghetti} 2
{eggs, fresh tuna, green tea, honey, spaghetti} 2
{eggs, fresh tuna, light mayo, pancakes, spaghetti} 2
{eggs, fresh tuna, mineral water, salmon, spaghetti} 2
{eggs, fromage blanc, green tea, honey, spaghetti} 2
{eggs, fromage blanc, honey, red wine, salmon} 2
{eggs, frozen smoothie, frozen vegetables, light mayo, tomatoes} 2
{eggs, frozen smoothie, frozen vegetables, spaghetti, turkey} 2
{eggs, frozen smoothie, grated cheese, ground beef, spaghetti} 2
{eggs, frozen smoothie, grated cheese, mineral water, spaghetti} 2
{eggs, frozen smoothie, green tea, light mayo, pancakes} 2
{eggs, frozen smoothie, green tea, light mayo, parmesan cheese} 2
{eggs, frozen smoothie, ground beef, pancakes, spaghetti} 2
{eggs, frozen smoothie, milk, spaghetti, tomatoes} 2
{eggs, frozen smoothie, mineral water, salmon, shrimp} 2
{eggs, frozen smoothie, mineral water, spaghetti, spinach} 2
{eggs, frozen vegetables, grated cheese, ground beef, mineral water} 2
{eggs, frozen vegetables, grated cheese, ground beef, spaghetti} 2
{eggs, frozen vegetables, grated cheese, milk, spaghetti} 2
{eggs, frozen vegetables, grated cheese, mineral water, soup} 2
{eggs, frozen vegetables, grated cheese, mineral water, spaghetti} 2
{eggs, frozen vegetables, green tea, ground beef, tomatoes} 2
{eggs, frozen vegetables, green tea, ground beef, whole wheat pasta} 2
{eggs, frozen vegetables, green tea, light mayo, tomatoes} 2
{eggs, frozen vegetables, green tea, milk, spaghetti} 2
{eggs, frozen vegetables, green tea, milk, whole wheat pasta} 2
{eggs, frozen vegetables, green tea, mineral water, tomato juice} 2
{eggs, frozen vegetables, green tea, mineral water, tomatoes} 2
{eggs, frozen vegetables, green tea, spaghetti, whole wheat pasta} 2
{eggs, frozen vegetables, green tea, tomato juice, tomatoes} 2
{eggs, frozen vegetables, ground beef, mineral water, spaghetti} 2
{eggs, frozen vegetables, ground beef, spaghetti, tomatoes} 2
{eggs, frozen vegetables, ground beef, spaghetti, whole wheat pasta} 2
{eggs, frozen vegetables, light mayo, milk, mineral water} 2
{eggs, frozen vegetables, low fat yogurt, milk, pancakes} 2
{eggs, frozen vegetables, low fat yogurt, milk, spaghetti} 2
{eggs, frozen vegetables, low fat yogurt, mineral water, shrimp} 2
{eggs, frozen vegetables, low fat yogurt, mineral water, spaghetti} 2
{eggs, frozen vegetables, low fat yogurt, pancakes, spaghetti} 2
{eggs, frozen vegetables, milk, mineral water, pancakes} 2
{eggs, frozen vegetables, milk, mineral water, shrimp} 2
{eggs, frozen vegetables, milk, mineral water, tomatoes} 2
{eggs, frozen vegetables, milk, pancakes, spaghetti} 2
{eggs, frozen vegetables, milk, spaghetti, whole wheat pasta} 2
{eggs, frozen vegetables, milk, tomatoes, vegetables mix} 2
{eggs, frozen vegetables, mineral water, pancakes, spaghetti} 2
{eggs, frozen vegetables, mineral water, pasta, shrimp} 2
{eggs, frozen vegetables, mineral water, shrimp, spaghetti} 2
{eggs, frozen vegetables, mineral water, soup, spaghetti} 2
{eggs, frozen vegetables, mineral water, tomato juice, tomatoes} 2
{eggs, frozen vegetables, shrimp, spaghetti, tomatoes} 2
{eggs, gluten free bar, milk, salmon, vegetables mix} 2
{eggs, grated cheese, ground beef, milk, mineral water} 2
{eggs, grated cheese, ground beef, milk, spaghetti} 2
{eggs, grated cheese, ground beef, mineral water, protein bar} 2
{eggs, grated cheese, ground beef, mineral water, salmon} 2
{eggs, grated cheese, ground beef, pancakes, spaghetti} 2
{eggs, grated cheese, gums, low fat yogurt, spaghetti} 2
{eggs, grated cheese, milk, mineral water, whole wheat rice} 2
{eggs, grated cheese, mineral water, nonfat milk, spaghetti} 2
{eggs, grated cheese, mineral water, pancakes, pepper} 2
{eggs, grated cheese, mineral water, salmon, spaghetti} 2
{eggs, green tea, ground beef, milk, spaghetti} 2
{eggs, green tea, ground beef, milk, whole wheat pasta} 2
{eggs, green tea, ground beef, mineral water, spaghetti} 2
{eggs, green tea, ground beef, spaghetti, whole wheat pasta} 2
{eggs, green tea, ham, mineral water, spaghetti} 2
{eggs, green tea, honey, pancakes, pepper} 2
{eggs, green tea, honey, spaghetti, turkey} 2
{eggs, green tea, milk, spaghetti, whole wheat pasta} 2
{eggs, green tea, milk, tomato juice, tomatoes} 2
{eggs, green tea, mineral water, pancakes, whole wheat rice} 2
{eggs, green tea, mineral water, pancakes, yogurt cake} 2
{eggs, green tea, mineral water, spaghetti, turkey} 2
{eggs, green tea, mineral water, spaghetti, whole wheat rice} 2
{eggs, green tea, mineral water, tomato juice, tomatoes} 2
{eggs, green tea, pancakes, pepper, spaghetti} 2
{eggs, green tea, pancakes, salmon, spaghetti} 2
{eggs, green tea, pepper, red wine, spaghetti} 2
{eggs, green tea, tomato juice, tomatoes, turkey} 2
{eggs, ground beef, low fat yogurt, mineral water, spaghetti} 2
{eggs, ground beef, low fat yogurt, mineral water, whole wheat rice} 2
{eggs, ground beef, low fat yogurt, mint, tomatoes} 2
{eggs, ground beef, low fat yogurt, salmon, tomatoes} 2
{eggs, ground beef, meatballs, milk, mineral water} 2
{eggs, ground beef, milk, mineral water, tomatoes} 2
{eggs, ground beef, milk, mineral water, turkey} 2
{eggs, ground beef, milk, spaghetti, whole wheat pasta} 2
{eggs, ground beef, mineral water, pancakes, pepper} 2
{eggs, ground beef, mineral water, pancakes, soup} 2
{eggs, ground beef, mineral water, salmon, spaghetti} 2
{eggs, ground beef, mineral water, spaghetti, tomato sauce} 2
{eggs, ground beef, mineral water, spaghetti, tomatoes} 2
{eggs, ground beef, mineral water, tomatoes, whole wheat rice} 2
{eggs, ground beef, spaghetti, tomatoes, whole wheat rice} 2
{eggs, ham, low fat yogurt, milk, spaghetti} 2
{eggs, ham, low fat yogurt, milk, tomatoes} 2
{eggs, ham, low fat yogurt, milk, whole wheat rice} 2
{eggs, honey, milk, spaghetti, turkey} 2
{eggs, honey, pancakes, red wine, spaghetti} 2
{eggs, light cream, milk, mineral water, spaghetti} 2
{eggs, light mayo, mineral water, pancakes, tomato sauce} 2
{eggs, low fat yogurt, milk, pancakes, shrimp} 2
{eggs, low fat yogurt, milk, pasta, shrimp} 2
{eggs, low fat yogurt, milk, shrimp, spaghetti} 2
{eggs, low fat yogurt, mineral water, soup, spaghetti} 2
{eggs, low fat yogurt, mineral water, spaghetti, whole wheat rice} 2
{eggs, low fat yogurt, pancakes, shrimp, spaghetti} 2
{eggs, low fat yogurt, pepper, spaghetti, turkey} 2
{eggs, low fat yogurt, spaghetti, tomatoes, whole wheat rice} 2
{eggs, meatballs, milk, mineral water, turkey} 2
{eggs, meatballs, mineral water, tomatoes, whole wheat rice} 2
{eggs, milk, mineral water, pasta, shrimp} 2
{eggs, milk, mineral water, salmon, turkey} 2
{eggs, milk, mineral water, shrimp, spaghetti} 2
{eggs, milk, mineral water, spaghetti, tomatoes} 2
{eggs, milk, mineral water, tomato juice, tomatoes} 2
{eggs, milk, muffins, pasta, shrimp} 2
{eggs, milk, pancakes, shrimp, spaghetti} 2
{eggs, milk, spaghetti, tomatoes, turkey} 2
{eggs, milk, spaghetti, tomatoes, whole wheat rice} 2
{eggs, mineral water, pasta, shrimp, spaghetti} 2
{eggs, mineral water, pasta, shrimp, turkey} 2
{eggs, mineral water, pepper, spaghetti, turkey} 2
{eggs, mineral water, shrimp, spaghetti, whole wheat rice} 2
{eggs, mineral water, spaghetti, tomatoes, turkey} 2
{eggs, mineral water, spaghetti, tomatoes, whole wheat rice} 2
{eggs, mineral water, spaghetti, turkey, whole wheat pasta} 2
{eggs, mineral water, spaghetti, turkey, whole wheat rice} 2
{eggs, pancakes, pepper, salmon, spaghetti} 2
{almonds, burgers, cookies, eggs, french fries, green tea} 2
{black tea, chocolate, eggs, milk, spaghetti, turkey} 2
{burger sauce, chicken, eggs, french fries, fresh bread, milk} 2
{burgers, cake, eggs, fresh tuna, pancakes, turkey} 2
{burgers, cake, eggs, ground beef, milk, mineral water} 2
{burgers, cake, eggs, meatballs, milk, mineral water} 2
{burgers, cake, eggs, milk, mineral water, turkey} 2
{burgers, chocolate, eggs, french fries, ham, low fat yogurt} 2
{burgers, chocolate, eggs, french fries, ham, milk} 2
{burgers, chocolate, eggs, french fries, ham, tomatoes} 2
{burgers, chocolate, eggs, french fries, low fat yogurt, spaghetti} 2
{burgers, chocolate, eggs, french fries, low fat yogurt, tomatoes} 2
{burgers, chocolate, eggs, french fries, milk, mineral water} 2
{burgers, chocolate, eggs, french fries, milk, shrimp} 2
{burgers, chocolate, eggs, french fries, milk, tomatoes} 2
{burgers, chocolate, eggs, french fries, mineral water, shrimp} 2
{burgers, chocolate, eggs, frozen vegetables, milk, spaghetti} 2
{burgers, chocolate, eggs, frozen vegetables, pancakes, spaghetti} 2
{burgers, chocolate, eggs, ground beef, mineral water, spaghetti} 2
{burgers, chocolate, eggs, ground beef, shrimp, spaghetti} 2
{burgers, chocolate, eggs, ham, low fat yogurt, milk} 2
{burgers, chocolate, eggs, ham, low fat yogurt, tomatoes} 2
{burgers, chocolate, eggs, ham, milk, tomatoes} 2
{burgers, chocolate, eggs, low fat yogurt, milk, spaghetti} 2
{burgers, chocolate, eggs, low fat yogurt, milk, tomatoes} 2
{burgers, chocolate, eggs, milk, mineral water, shrimp} 2
{burgers, chocolate, eggs, milk, shrimp, spaghetti} 2
{burgers, chocolate, eggs, mineral water, shrimp, spaghetti} 2
{burgers, cookies, eggs, french fries, green tea, milk} 2
{burgers, cookies, eggs, french fries, milk, spaghetti} 2
{burgers, eggs, escalope, french fries, pancakes, spaghetti} 2
{burgers, eggs, french fries, frozen vegetables, mineral water, spaghetti} 2
{burgers, eggs, french fries, ham, low fat yogurt, spaghetti} 2
{burgers, eggs, french fries, ham, low fat yogurt, tomatoes} 2
{burgers, eggs, french fries, ham, milk, pancakes} 2
{burgers, eggs, french fries, ham, milk, spaghetti} 2
{burgers, eggs, french fries, ham, milk, tomatoes} 2
{burgers, eggs, french fries, low fat yogurt, milk, mineral water} 2
{burgers, eggs, french fries, low fat yogurt, milk, pancakes} 2
{burgers, eggs, french fries, low fat yogurt, milk, spaghetti} 2
{burgers, eggs, french fries, low fat yogurt, milk, tomatoes} 2
{burgers, eggs, french fries, low fat yogurt, mineral water, pancakes} 2
{burgers, eggs, french fries, low fat yogurt, mineral water, spaghetti} 2
{burgers, eggs, french fries, low fat yogurt, pancakes, spaghetti} 2
{burgers, eggs, french fries, milk, mineral water, pancakes} 2
{burgers, eggs, french fries, milk, mineral water, shrimp} 2
{burgers, eggs, french fries, milk, mineral water, spaghetti} 2
{burgers, eggs, french fries, milk, pancakes, shrimp} 2
{burgers, eggs, french fries, milk, pancakes, spaghetti} 2
{burgers, eggs, french fries, mineral water, pancakes, spaghetti} 2
{burgers, eggs, fresh tuna, gluten free bar, pancakes, spaghetti} 2
{burgers, eggs, fresh tuna, light mayo, pancakes, spaghetti} 2
{burgers, eggs, frozen vegetables, low fat yogurt, milk, mineral water} 2
{burgers, eggs, grated cheese, ground beef, mineral water, spaghetti} 2
{burgers, eggs, grated cheese, gums, low fat yogurt, spaghetti} 2
{burgers, eggs, ham, low fat yogurt, milk, spaghetti} 2
{burgers, eggs, ham, low fat yogurt, milk, tomatoes} 2
{burgers, eggs, ham, low fat yogurt, milk, whole wheat rice} 2
{burgers, eggs, low fat yogurt, milk, mineral water, pancakes} 2
{burgers, eggs, low fat yogurt, milk, mineral water, spaghetti} 2
{burgers, eggs, low fat yogurt, milk, pancakes, spaghetti} 2
{burgers, eggs, low fat yogurt, milk, pasta, shrimp} 2
{burgers, eggs, low fat yogurt, mineral water, pancakes, spaghetti} 2
{burgers, eggs, milk, mineral water, pancakes, spaghetti} 2
{butter, chocolate, eggs, french fries, green tea, ground beef} 2
{butter, eggs, french wine, frozen vegetables, pancakes, soup} 2
{cake, chicken, eggs, milk, mineral water, spaghetti} 2
{cake, chicken, eggs, milk, mineral water, turkey} 2
{cake, chicken, eggs, milk, spaghetti, turkey} 2
{cake, chicken, eggs, mineral water, spaghetti, turkey} 2
{cake, eggs, french fries, fresh bread, frozen smoothie, milk} 2
{cake, eggs, green tea, ground beef, mineral water, tomatoes} 2
{cake, eggs, green tea, milk, spaghetti, turkey} 2
{cake, eggs, green tea, mineral water, spaghetti, turkey} 2
{cake, eggs, milk, mineral water, spaghetti, turkey} 2
{champagne, eggs, ground beef, low fat yogurt, salmon, tomatoes} 2
{chicken, chocolate, eggs, french fries, milk, mineral water} 2
{chicken, chocolate, eggs, french fries, mineral water, spaghetti} 2
{chicken, chocolate, eggs, fresh bread, frozen vegetables, mineral water} 2
{chicken, chocolate, eggs, fresh bread, frozen vegetables, white wine} 2
{chicken, chocolate, eggs, fresh bread, mineral water, white wine} 2
{chicken, chocolate, eggs, frozen vegetables, mineral water, white wine} 2
{chicken, chocolate, eggs, frozen vegetables, mineral water, whole wheat pasta} 2
{chicken, eggs, french fries, frozen vegetables, ground beef, milk} 2
{chicken, eggs, french fries, frozen vegetables, ground beef, whole wheat pasta} 2
{chicken, eggs, french fries, frozen vegetables, milk, whole wheat pasta} 2
{chicken, eggs, french fries, grated cheese, ground beef, milk} 2
{chicken, eggs, french fries, grated cheese, ground beef, spaghetti} 2
{chicken, eggs, french fries, grated cheese, milk, mineral water} 2
{chicken, eggs, french fries, grated cheese, milk, spaghetti} 2
{chicken, eggs, french fries, grated cheese, mineral water, spaghetti} 2
{chicken, eggs, french fries, ground beef, milk, mineral water} 2
{chicken, eggs, french fries, ground beef, milk, whole wheat pasta} 2
{chicken, eggs, french fries, ground beef, mineral water, spaghetti} 2
{chicken, eggs, french fries, milk, mineral water, spaghetti} 2
{chicken, eggs, french fries, milk, mineral water, turkey} 2
{chicken, eggs, french fries, mineral water, spaghetti, turkey} 2
{chicken, eggs, fresh bread, frozen vegetables, mineral water, white wine} 2
{chicken, eggs, frozen vegetables, ground beef, milk, whole wheat pasta} 2
{chicken, eggs, grated cheese, ground beef, milk, spaghetti} 2
{chicken, eggs, grated cheese, milk, mineral water, spaghetti} 2
{chicken, eggs, grated cheese, mineral water, nonfat milk, spaghetti} 2
{chicken, eggs, meatballs, mineral water, tomatoes, whole wheat rice} 2
{chicken, eggs, mineral water, spaghetti, tomatoes, turkey} 2
{chocolate, cookies, eggs, french fries, green tea, spaghetti} 2
{chocolate, cookies, eggs, grated cheese, ground beef, mineral water} 2
{chocolate, cookies, eggs, grated cheese, ground beef, spaghetti} 2
{chocolate, cookies, eggs, grated cheese, mineral water, spaghetti} 2
{chocolate, cookies, eggs, ground beef, mineral water, spaghetti} 2
{chocolate, eggs, french fries, frozen smoothie, low fat yogurt, milk} 2
{chocolate, eggs, french fries, frozen vegetables, low fat yogurt, milk} 2
{chocolate, eggs, french fries, frozen vegetables, milk, mineral water} 2
{chocolate, eggs, french fries, green tea, ground beef, tomatoes} 2
{chocolate, eggs, french fries, ham, low fat yogurt, milk} 2
{chocolate, eggs, french fries, ham, low fat yogurt, tomatoes} 2
{chocolate, eggs, french fries, ham, milk, tomatoes} 2
{chocolate, eggs, french fries, low fat yogurt, milk, pancakes} 2
{chocolate, eggs, french fries, low fat yogurt, milk, spaghetti} 2
{chocolate, eggs, french fries, milk, mineral water, shrimp} 2
{chocolate, eggs, french fries, milk, mineral water, spaghetti} 2
{chocolate, eggs, french wine, pancakes, spaghetti, whole wheat pasta} 2
{chocolate, eggs, fresh bread, frozen vegetables, mineral water, turkey} 2
{chocolate, eggs, fresh bread, ground beef, pancakes, spaghetti} 2
{chocolate, eggs, frozen vegetables, grated cheese, milk, spaghetti} 2
{chocolate, eggs, frozen vegetables, ground beef, milk, mineral water} 2
{chocolate, eggs, frozen vegetables, low fat yogurt, mineral water, shrimp} 2
{chocolate, eggs, frozen vegetables, milk, mineral water, spaghetti} 2
{chocolate, eggs, frozen vegetables, mineral water, pasta, shrimp} 2
{chocolate, eggs, grated cheese, milk, mineral water, spaghetti} 2
{chocolate, eggs, ham, low fat yogurt, milk, tomatoes} 2
{chocolate, eggs, milk, mineral water, pancakes, spaghetti} 2
{chocolate, eggs, milk, mineral water, pasta, shrimp} 2
{chocolate, eggs, mineral water, shrimp, spaghetti, whole wheat rice} 2
{cider, eggs, french fries, low fat yogurt, milk, pancakes} 2
{cookies, eggs, french fries, green tea, milk, spaghetti} 2
{cookies, eggs, grated cheese, ground beef, mineral water, spaghetti} 2
{cottage cheese, eggs, frozen vegetables, low fat yogurt, milk, mineral water} 2
{eggs, escalope, french fries, low fat yogurt, milk, pancakes} 2
{eggs, escalope, grated cheese, mineral water, pancakes, pepper} 2
{eggs, french fries, frozen smoothie, frozen vegetables, spaghetti, turkey} 2
{eggs, french fries, frozen vegetables, grated cheese, mineral water, soup} 2
{eggs, french fries, frozen vegetables, green tea, ground beef, spaghetti} 2
{eggs, french fries, frozen vegetables, ground beef, milk, whole wheat pasta} 2
{eggs, french fries, frozen vegetables, milk, tomatoes, vegetables mix} 2
{eggs, french fries, grated cheese, ground beef, milk, spaghetti} 2
{eggs, french fries, grated cheese, ground beef, mineral water, spaghetti} 2
{eggs, french fries, grated cheese, milk, mineral water, spaghetti} 2
{eggs, french fries, green tea, milk, spaghetti, turkey} 2
{eggs, french fries, ham, low fat yogurt, milk, spaghetti} 2
{eggs, french fries, ham, low fat yogurt, milk, tomatoes} 2
{eggs, french fries, low fat yogurt, milk, mineral water, pancakes} 2
{eggs, french fries, low fat yogurt, milk, mineral water, spaghetti} 2
{eggs, french fries, low fat yogurt, milk, pancakes, shrimp} 2
{eggs, french fries, low fat yogurt, milk, shrimp, spaghetti} 2
{eggs, french fries, low fat yogurt, mineral water, pancakes, spaghetti} 2
{eggs, french fries, low fat yogurt, pancakes, shrimp, spaghetti} 2
{eggs, french fries, milk, mineral water, pancakes, spaghetti} 2
{eggs, french fries, milk, pancakes, shrimp, spaghetti} 2
{eggs, french fries, milk, spaghetti, tomatoes, turkey} 2
{eggs, french fries, milk, spaghetti, tomatoes, whole wheat rice} 2
{eggs, french fries, mineral water, pasta, shrimp, spaghetti} 2
{eggs, fresh bread, frozen vegetables, low fat yogurt, milk, mineral water} 2
{eggs, fresh tuna, fromage blanc, green tea, honey, spaghetti} 2
{eggs, frozen vegetables, grated cheese, ground beef, mineral water, spaghetti} 2
{eggs, frozen vegetables, green tea, ground beef, milk, spaghetti} 2
{eggs, frozen vegetables, green tea, ground beef, milk, whole wheat pasta} 2
{eggs, frozen vegetables, green tea, ground beef, spaghetti, whole wheat pasta} 2
{eggs, frozen vegetables, green tea, milk, spaghetti, whole wheat pasta} 2
{eggs, frozen vegetables, green tea, mineral water, tomato juice, tomatoes} 2
{eggs, frozen vegetables, ground beef, milk, spaghetti, whole wheat pasta} 2
{eggs, frozen vegetables, low fat yogurt, milk, mineral water, pancakes} 2
{eggs, frozen vegetables, low fat yogurt, milk, mineral water, spaghetti} 2
{eggs, frozen vegetables, low fat yogurt, milk, pancakes, spaghetti} 2
{eggs, frozen vegetables, low fat yogurt, mineral water, pancakes, spaghetti} 2
{eggs, frozen vegetables, milk, mineral water, pancakes, spaghetti} 2
{eggs, grated cheese, ground beef, milk, mineral water, spaghetti} 2
{eggs, green tea, ground beef, milk, spaghetti, whole wheat pasta} 2
{eggs, ground beef, mineral water, spaghetti, tomatoes, whole wheat rice} 2
{eggs, low fat yogurt, milk, pancakes, shrimp, spaghetti} 2
{burgers, chocolate, eggs, french fries, ham, low fat yogurt, milk} 2
{burgers, chocolate, eggs, french fries, ham, low fat yogurt, tomatoes} 2
{burgers, chocolate, eggs, french fries, ham, milk, tomatoes} 2
{burgers, chocolate, eggs, french fries, low fat yogurt, milk, spaghetti} 2
{burgers, chocolate, eggs, french fries, low fat yogurt, milk, tomatoes} 2
{burgers, chocolate, eggs, french fries, milk, mineral water, shrimp} 2
{burgers, chocolate, eggs, ham, low fat yogurt, milk, tomatoes} 2
{burgers, eggs, french fries, ham, low fat yogurt, milk, spaghetti} 2
{burgers, eggs, french fries, ham, low fat yogurt, milk, tomatoes} 2
{burgers, eggs, french fries, low fat yogurt, milk, mineral water, pancakes} 2
{burgers, eggs, french fries, low fat yogurt, milk, mineral water, spaghetti} 2
{burgers, eggs, french fries, low fat yogurt, milk, pancakes, spaghetti} 2
{burgers, eggs, french fries, low fat yogurt, mineral water, pancakes, spaghetti} 2
{burgers, eggs, french fries, milk, mineral water, pancakes, spaghetti} 2
{burgers, eggs, low fat yogurt, milk, mineral water, pancakes, spaghetti} 2
{cake, chicken, eggs, milk, mineral water, spaghetti, turkey} 2
{chicken, chocolate, eggs, fresh bread, frozen vegetables, mineral water, white wine} 2
{chicken, eggs, french fries, frozen vegetables, ground beef, milk, whole wheat pasta} 2
{chicken, eggs, french fries, grated cheese, ground beef, milk, spaghetti} 2
{chicken, eggs, french fries, grated cheese, milk, mineral water, spaghetti} 2
{chocolate, cookies, eggs, grated cheese, ground beef, mineral water, spaghetti} 2
{chocolate, eggs, french fries, ham, low fat yogurt, milk, tomatoes} 2
{eggs, french fries, low fat yogurt, milk, mineral water, pancakes, spaghetti} 2
{eggs, french fries, low fat yogurt, milk, pancakes, shrimp, spaghetti} 2
{eggs, frozen vegetables, green tea, ground beef, milk, spaghetti, whole wheat pasta} 2
{eggs, frozen vegetables, low fat yogurt, milk, mineral water, pancakes, spaghetti} 2
{burgers, chocolate, eggs, french fries, ham, low fat yogurt, milk, tomatoes} 2
{burgers, eggs, french fries, low fat yogurt, milk, mineral water, pancakes, spaghetti} 2
{asparagus, eggs} 3
{bramble, eggs} 3
{eggs, ketchup} 3
{eggs, strong cheese} 3
{almonds, eggs, frozen smoothie} 3
{almonds, eggs, ground beef} 3
{almonds, eggs, soup} 3
{almonds, eggs, tomato sauce} 3
{almonds, eggs, turkey} 3
{antioxydant juice, eggs, frozen vegetables} 3
{antioxydant juice, eggs, mineral water} 3
{avocado, cake, eggs} 3
{avocado, cookies, eggs} 3
{avocado, eggs, energy drink} 3
{avocado, eggs, frozen smoothie} 3
{avocado, eggs, frozen vegetables} 3
{avocado, eggs, green tea} 3
{avocado, eggs, melons} 3
{avocado, eggs, red wine} 3
{avocado, eggs, tomatoes} 3
{avocado, eggs, turkey} 3
{bacon, barbecue sauce, eggs} 3
{bacon, eggs, milk} 3
{barbecue sauce, cake, eggs} 3
{barbecue sauce, cookies, eggs} 3
{barbecue sauce, eggs, frozen vegetables} 3
{barbecue sauce, eggs, ground beef} 3
{barbecue sauce, eggs, mineral water} 3
{black tea, cake, eggs} 3
{black tea, chicken, eggs} 3
{black tea, chocolate, eggs} 3
{black tea, cookies, eggs} 3
{black tea, eggs, energy drink} 3
{black tea, eggs, green tea} 3
{black tea, eggs, shrimp} 3
{body spray, cake, eggs} 3
{body spray, eggs, ground beef} 3
{brownies, champagne, eggs} 3
{brownies, eggs, energy bar} 3
{brownies, eggs, fresh bread} 3
{brownies, eggs, honey} 3
{brownies, eggs, light mayo} 3
{bug spray, chocolate, eggs} 3
{bug spray, eggs, mineral water} 3
